model_id,incomplete_generation,c0-clone,c1-clone,c2-clone,c4-clone,code_error,single_color,variation,time
deepseek-coder-6.7b-base,0.15228426395939088,0.03553299492385787,0.04568527918781726,0.007614213197969543,0.08375634517766498,0.23096446700507614,0.02284263959390863,0.4213197969543147,2024-08-15 22:04:04.874723
deepseek-coder-1.3b-base,0.17766497461928935,0.007614213197969543,0.03299492385786802,0.005076142131979695,0.0532994923857868,0.18781725888324874,0.03299492385786802,0.5025380710659898,2024-08-15 22:30:31.420376
CodeQwen1.5-7B,0.16751269035532995,0.02284263959390863,0.04568527918781726,0.02030456852791878,0.07360406091370558,0.18781725888324874,0.02030456852791878,0.4619289340101523,2024-08-19 19:13:08.872904
stable-code-3b,0.17766497461928935,0.01015228426395939,0.012690355329949238,0.005076142131979695,0.06598984771573604,0.24111675126903553,0.02284263959390863,0.46446700507614214,2024-08-19 19:30:32.642749
granite-3b-code-base,0.2639593908629442,0.007614213197969543,0.03553299492385787,0.007614213197969543,0.06091370558375635,0.19796954314720813,0.01015228426395939,0.41624365482233505,2024-08-19 19:49:40.553675
phi-2,0.5532994923857868,0.0025380710659898475,0.005076142131979695,0.0,0.007614213197969543,0.19543147208121828,0.02030456852791878,0.21573604060913706,2024-08-19 20:19:16.386315
phi-2,0.5532994923857868,0.0025380710659898475,0.005076142131979695,0.0,0.007614213197969543,0.18527918781725888,0.02030456852791878,0.22588832487309646,2024-08-19 23:25:33.328331
granite-3b-code-base,0.2639593908629442,0.007614213197969543,0.03807106598984772,0.007614213197969543,0.06091370558375635,0.19035532994923857,0.01015228426395939,0.4213197969543147,2024-08-20 00:07:51.354977
stable-code-3b,0.17766497461928935,0.01015228426395939,0.015228426395939087,0.005076142131979695,0.06598984771573604,0.23096446700507614,0.02284263959390863,0.4720812182741117,2024-08-20 00:28:35.684375
stable-code-3b,0.17766497461928935,0.01015228426395939,0.015228426395939087,0.005076142131979695,0.06598984771573604,0.23096446700507614,0.02284263959390863,0.4720812182741117,2024-08-20 00:31:01.423445
